Node Name,Status,Endpoint,Method,Relationship,Description
GoogleSheet,,-> Clear By Range,,child,Clear the values in a spreadsheet from specified range
GoogleSheet,,-> Clear All Values,,child,Clear all the values in a spreadsheet
Google Slides,,Google Slides,,parent,"Create, retrieve, and update Google Slides presentations and pages"
Google Slides,,-> Create presentation,,child,
Google Slides,,-> Get presentation,,child,
Google Slides,,-> Batch update presentation,,child,
Google Slides,,-> Get page,,child,
Google Slides,,-> Get page thumbnail,,child,
GraphQL,,GraphQL,,parent,Execute GraphQL request
Helio,,Helio,,parent,Execute Helio API integration
Helio,,-> Get All Transactions,,child,
Helio Webhook,,Helio Webhook,,parent,Start workflow whenever Helio webhook event happened
Helio Webhook,,-> New payment on Pay Link,,child,Triggered upon new payment on the Pay Link
Helio Webhook,,-> New subscription on Pay Stream,,child,Triggered upon new subscription/stream started on the Pay Stream
Helio Webhook,,-> Cancellation of subscription on Pay Stream,,child,Triggered when a subscription/stream was stopped/ended on the Pay Stream
Helius,,Helius,,parent,Perform Helius on-chain operations on Solana
Helius,,-> Get NFT events,,child,Returns all NFT events given an address.
Helius,,-> Get NFT Portfolio,,child,Returns all the NFTs that the given address currently holds.
Helius,,-> Name Lookup,,child,Does a reverse lookup with the given address for Solana Naming Service domains.
Helius,,-> Get Token Balances,,child,Returns the native Solana balance (in lamports) and all token balances for a given address.
HTTP,,HTTP,,parent,Execute HTTP request
HTTP,,-> GET,,child,
HTTP,,-> POST,,child,
HTTP,,-> PUT,,child,
HTTP,,-> DELETE,,child,
HTTP,,-> HEAD,,child,
Hubspot,,Hubspot,,parent,Execute Hubspot API integration
Hubspot,,-> Create new contact,,child,Create a new contact
Hubspot,,-> Get contact,,child,Get a contact details
Hubspot,,-> Delete contact,,child,Delete a contact
Hubspot,,-> Get list of contacts,,child,Get a list of contact details
Hugging Face,,Hugging Face,,parent,Execute HuggingFace Inference API
Hugging Face,,-> Image Classification,,child,
Hugging Face,,-> Feature Extraction,,child,
Hugging Face,,-> Object Detection,,child,
Hugging Face,,-> Text Classification,,child,
If Else,,If Else,,parent,Split flows according to conditions set
ImageEditor,,ImageEditor,,parent,Edit image with different manipulation methods
ImageEditor,,-> Crop,,child,Crop image
ImageEditor,,-> Blur,,child,Quickly blur an image
ImageEditor,,-> Gaussian,,child,Hardcore blur
ImageEditor,,-> Invert,,child,Invert an images colors
ImageEditor,,-> Resize,,child,Resize an image
ImageEditor,,-> Cover,,child,Scale the image so the given width and height keeping the aspect ratio
ImageEditor,,-> Rotate,,child,Rotate an image
ImageEditor,,-> Normalize,,child,Normalize the colors in an image
ImageEditor,,-> Dither,,child,Apply a dither effect to an image
ImageEditor,,-> Scale,,child,Uniformly scales the image by a factor
Infura,,Infura,,parent,Perform Infura onchain operations
Infura,,-> Chain API,,child,API for fetching standard onchain data using Infura supported calls.
Infura,,-> IPFS API,,child,"API for interacting with IPFS, a distributed, peer-to-peer (p2p) storage network used for storing and accessing files, websites, applications, and data."
Infura Trigger,,Infura Trigger,,parent,Start workflow whenever subscribed event happened
Instagram,,Instagram,,parent,"Interact with Instagram’s private API: login, fetch profiles/posts/followers, comment, like, upload and manage direct messages, 2FA, registration, etc."
Instagram,,-> Login,,child,
Instagram,,-> Authenticate 2FA,,child,
Instagram,,-> Submit 2FA Code,,child,
Instagram,,-> Register Username & Password,,child,
Instagram,,-> Reset Password,,child,
Instagram,,-> Register Phone,,child,
Instagram,,-> Verify Phone,,child,
Instagram,,-> Register Email,,child,
Instagram,,-> Verify Email,,child,
Instagram,,-> Register Device,,child,
Instagram,,-> Solve Challenge,,child,
Instagram,,-> Get User ID,,child,
Instagram,,-> Get Profile Data,,child,
Instagram,,-> Get Post Data,,child,
Instagram,,-> Get Location Data,,child,
Instagram,,-> Get Hashtag Data,,child,
Instagram,,-> Fetch Followers,,child,
Instagram,,-> Fetch Following,,child,
Instagram,,-> Fetch Posts,,child,
Instagram,,-> Fetch Tagged Posts,,child,
Instagram,,-> Fetch Post Comments,,child,
Instagram,,-> Fetch Post Likes,,child,
Instagram,,-> Like Post,,child,
Instagram,,-> Like Story,,child,
Instagram,,-> Comment On Post,,child,
Instagram,,-> Follow Profile,,child,
Instagram,,-> Unfollow Profile,,child,
Instagram,,-> Upload Post,,child,
Instagram,,-> Upload Story,,child,
Instagram,,-> Upload Avatar,,child,
Instagram,,-> Search,,child,
Instagram,,-> Get Profile Suggestions,,child,
Instagram,,-> Fetch Direct Messages,,child,
Instagram,,-> Create DM Thread,,child,
Instagram,,-> Send Direct Message,,child,
Instagram,,-> Fetch DM Thread,,child,
LangChain Web Browser,,LangChain Web Browser,,parent,"Open a URL or run a live web search via LangChain’s WebBrowser tool, optionally summarized by an LLM."
LangChain Web Browser,,-> Browse / Search,,child,"Pass a full URL to fetch + parse it, or a plain question / keyword to search the web."
Lyft,,Lyft,,parent,"Enrich and extend AI models with memory, tools, and templated context using MCP."
Lyft,,-> Use Prompt Template,,child,
Lyft,,-> Call a Tool,,child,
Lyft,,-> Fetch Context Memory,,child,
Mailchimp,,Mailchimp,,parent,Execute Mailchimp API integration
Mailchimp,,-> Get list of campaigns,,child,Returns the list of campaigns
Mailchimp,,-> Get campaign,,child,Return single campaign
Mailchimp,,-> Delete campaign,,child,It will delete campaigns
Mailchimp,,-> Add user to subscribe list,,child,Add or update user to a subscribe list
Mailchimp,,-> Get user,,child,Get information about a specific audience
Mailchimp,,-> Get list of users,,child,Get information about list of members in a specific audience list
Model Context Protocol,,Model Context Protocol,,parent,Executes tools defined in the Model Context Protocol serverless environment.
Model Context Protocol,,-> Calculator,,child,
Model Context Protocol,,Model Context Protocol,,parent,Perform operations with OpenAI Assistants API
Model Context Protocol,,-> Run MCP Service With Prompt,,child,Recieves a response from the assistant for a specific thread
Moralis,,Moralis,,parent,Execute Moralis APIs
Moralis,,-> EVM API,,child,API for interacting/fetching standard onchain data using Moralis API key.
Moralis,,-> NFT API,,child,API for interacting/fetching NFT data using Moralis API key.
Moralis,,-> DeFi API,,child,API for interacting/fetching DeFi data using Moralis API key.
Moralis,,-> Upload to IPFS,,child,Upload multiple files in a folder to IPFS and place them in a folder directory.
NodeJS,,NodeJS,,parent,Execute code within NodeVM sandbox
Notion,,Notion,,parent,"Work with Notion page, database or block"
Notion,,-> Search all pages,,child,
Notion,,-> Page,,child,
Notion,,-> Database,,child,
Notion,,-> Block,,child,
Notion,,-> Get Page,,child,
Notion,,-> Create Page,,child,
Notion,,-> Update Page,,child,
Notion,,-> Delete Page,,child,
Notion,,-> Get Database,,child,
Notion,,-> Create Database,,child,
Notion,,-> Update Database,,child,
Notion,,-> Query Database,,child,
Notion,,-> Get Block,,child,
Notion,,-> Update Block,,child,
Notion,,-> Get Block Children,,child,
Notion,,-> Append Block Children,,child,
Notion,,-> Delete Block,,child,
Nowhere API,,Nowhere API,,parent,"Manage stations, spaces, and user roles via the Nowhere API"
Nowhere API,,-> Get User Info,,child,
Nowhere API,,-> Get Embed Link,,child,
Nowhere API,,-> Create Station,,child,
Nowhere API,,-> Update Station,,child,
Nowhere API,,-> Create Space,,child,
Nowhere API,,-> Update Space,,child,
Nowhere API,,-> Manage Station Roles,,child,
Nowhere API,,-> Manage Space Roles,,child,
NVIDIA NIM,,NVIDIA NIM,,parent,"Access NVIDIA NIM API for various tasks including chat, code generation, and retrieval via generative AI models"
NVIDIA NIM,,-> Chat Completion,,child,
NVIDIA NIM,,-> Code Completion,,child,
NVIDIA NIM,,-> Retrieval,,child,
NVIDIA NIM API,,NVIDIA NIM API,,parent,"Interact with NVIDIA NIM API to create chat completions, list available models, or retrieve model metadata."
NVIDIA NIM API,,-> Create Chat Completion,,child,Create a chat completion using NVIDIA NIM API.
NVIDIA NIM API,,-> List Available Models,,child,List all available models for inference.
NVIDIA NIM API,,-> Get Model Metadata,,child,Retrieve metadata for a specific model.
OpenAI,,OpenAI,,parent,"ChatGPT, image generation or text completion from prompt via OpenAI API"
OpenAI,,-> ChatGPT,,child,
OpenAI,,-> Generate Image via text prompt,,child,
OpenAI,,-> Generate Text Completion via text prompt,,child,
OpenAI Embeddings,,OpenAI Embeddings,,parent,Generate embeddings for a given text using OpenAI API
OpenAI Embeddings,,-> Generate Embeddings,,child,
OpenSea Event Trigger,,OpenSea Event Trigger,,parent,Start workflow whenever OpenSea event occurs
OpenSea Event Trigger,,-> New Auctions,,child,
OpenSea Event Trigger,,-> New Sales,,child,
OpenSea Event Trigger,,-> New Transfer,,child,
OpenSea Event Trigger,,-> New Approve,,child,
OpenSea Event Trigger,,-> New Bid Entered,,child,
OpenSea Event Trigger,,-> Bid Withdrawn,,child,
OpenSea Event Trigger,,-> Cancelled,,child,
OpenSea Event Trigger,,-> Sell to the highest bidder,,child,The highest bid wins at the end
OpenSea Event Trigger,,-> Sell with a declining price,,child,The price falls until someone purchases the item
OpenSea Event Trigger,,-> CryptoPunks Auctions,,child,
OpenSea Event Trigger,,-> TEST,,child,Testnet: https://testnets.opensea.io/
OpenSea Event Trigger,,-> MAIN,,child,Mainnet: https://opensea.io/
OpenAI Assistants,,OpenAI Assistants,,parent,Perform operations with OpenAI Assistants API
OpenAI Assistants,,-> List Assistants,,child,Fetches a list of all assistants.
OpenAI Assistants,,-> Run Assistant With Thread,,child,Recieves a response from the assistant for a specific thread
OpenAI Assistants,,-> Create Assistant,,child,Creates a new assistant.
OpenAI Assistants,,-> Get Assistant,,child,Retrieves details of a specific assistant using the assistant ID.
OpenAI Assistants,,-> Modify Assistant,,child,Modifies an existing assistant using the assistant ID.
OpenAI Assistants,,-> Delete Assistant,,child,Deletes an assistant using the assistant ID.
OpenAI Assistants,,-> List Threads,,child,Fetches a list of all threads.
OpenAI Assistants,,-> Create Thread,,child,Creates a new thread.
OpenAI Assistants,,-> Get Thread,,child,Retrieves details of a specific thread using the thread ID.
OpenAI Assistants,,-> List Messages,,child,Fetches a list of all messages.
OpenAI Assistants,,-> Create Message,,child,Creates a new message.
OpenAI Assistants,,-> Get Message,,child,Retrieves details of a specific message using the message ID.
OpenAI Assistants,,-> List Runs,,child,Fetches a list of all runs.
OpenAI Assistants,,-> Get Run,,child,Retrieves details of a specific run using the run ID.
OpenAI Assistants,,-> Cancel Run,,child,Cancels a specific run using the run ID.
OpenAI Assistants,,-> List Run Steps,,child,Fetches a list of all run steps.
OpenAI Assistants,,-> Get Run Step,,child,Retrieves details of a specific run step using the run step ID.
OpenAI Assistants,,-> List Vector Stores,,child,Fetches a list of all vector stores.
OpenAI Assistants,,-> Create Vector Store,,child,Creates a new vector store.
OpenAI Assistants,,-> Get Vector Store,,child,Retrieves details of a specific vector store using the vector store ID.
OpenAI Assistants,,-> Delete Vector Store,,child,Deletes a vector store using the vector store ID.
OpenAI Assistants,,-> List Vector Store Files,,child,Fetches a list of all vector store files.
OpenAI Assistants,,-> Upload Vector Store File,,child,Uploads a new vector store file.
OpenAI Assistants,,-> Get Vector Store File,,child,Retrieves details of a specific vector store file using the file ID.
OpenAI Assistants,,-> Delete Vector Store File,,child,Deletes a vector store file using the file ID.
OpenAI Assistants,,-> List Vector Store File Batches,,child,Fetches a list of all vector store file batches.
OpenAI Assistants,,-> Create Vector Store File Batch,,child,Creates a new vector store file batch.
OpenAI Assistants,,-> Get Vector Store File Batch,,child,Retrieves details of a specific vector store file batch using the batch ID.
OpenAI Assistants,,-> Delete Vector Store File Batch,,child,Deletes a vector store file batch using the batch ID.
OpenAI Assistants V2,,OpenAI Assistants V2,,parent,Perform operations with OpenAI Assistants API
OpenAI Assistants V2,,-> List Assistants,,child,Fetches a list of all assistants.
OpenAI Assistants V2,,-> Create Assistant,,child,Creates a new assistant.
OpenAI Assistants V2,,-> Get Assistant,,child,Retrieves details of a specific assistant using the assistant ID.
OpenAI Assistants V2,,-> Modify Assistant,,child,Modifies an existing assistant using the assistant ID.
OpenAI Assistants V2,,-> Delete Assistant,,child,Deletes an assistant using the assistant ID.
OpenAI Assistants V2,,-> List Threads,,child,Fetches a list of all threads.
OpenAI Assistants V2,,-> Create Thread,,child,Creates a new thread.
OpenAI Assistants V2,,-> Get Thread,,child,Retrieves details of a specific thread using the thread ID.
OpenAI Assistants V2,,-> List Messages,,child,Fetches a list of all messages.
OpenAI Assistants V2,,-> Create Message,,child,Creates a new message.
OpenAI Assistants V2,,-> Get Message,,child,Retrieves details of a specific message using the message ID.
OpenAI Assistants V2,,-> List Runs,,child,Fetches a list of all runs.
OpenAI Assistants V2,,-> Get Run,,child,Retrieves details of a specific run using the run ID.
OpenAI Assistants V2,,-> Cancel Run,,child,Cancels a specific run using the run ID.
OpenAI Assistants V2,,-> List Run Steps,,child,Fetches a list of all run steps.
OpenAI Assistants V2,,-> Get Run Step,,child,Retrieves details of a specific run step using the run step ID.
OpenSea,,OpenSea,,parent,Query OpenSea information
OpenSea,,-> Retrieve Assets,,child,Returns a set of NFTs.
OpenSea,,-> Retrieve Events,,child,Returns a list of Events.
OpenSea,,-> Retrieve Collections,,child,Returns a list of collections supported and vetted by OpenSea.
OpenSea,,-> Retrieve Bundles,,child,Returns a list of bundles. Bundles are groups of NFTs for sale on OpenSea.
OpenSea,,-> Retrieve An Asset,,child,"Fetch information about a single NFT, based on its contract address and token ID."
OpenSea,,-> Retrieve A Contract,,child,Fetch detailed information about a specified contract.
OpenSea,,-> Retrieve A Collection,,child,"Retrieve more in-depth information about an individual collection, including real time statistics such as floor price."
OpenSea,,-> Retrieve Collection Stats,,child,"Fetch stats for a specific collection, including real-time floor price data."
OpenSea,,-> Auctions,,child,
OpenSea,,-> Sales,,child,
OpenSea,,-> Transfer,,child,
OpenSea,,-> Approve,,child,
OpenSea,,-> Bid Entered,,child,
OpenSea,,-> Bid Withdrawn,,child,
OpenSea,,-> Cancelled,,child,
OpenSea,,-> All Events,,child,
OpenSea,,-> Sell to the highest bidder,,child,The highest bid wins at the end
OpenSea,,-> Sell with a declining price,,child,The price falls until someone purchases the item
OpenSea,,-> CryptoPunks Auctions,,child,
OpenSea,,-> TEST,,child,Testnet: https://testnets.opensea.io/
OpenSea,,-> MAIN,,child,Mainnet: https://opensea.io/
Optimism Scan,,Optimism Scan,,parent,Perform Arbiscan operations
Optimism Scan,,-> Get Ether Balance for a Single Address,,child,Returns the Ether balance of a given address.
Optimism Scan,,-> Get Ether Balance for Multiple Addresses(separated by a comma),,child,Returns the Ether balance of the addresses(each address separated by a comma) entered.
Optimism Scan,,-> Get transactions,,child,"Returns the list of transactions performed by an address, with optional pagination."
Optimism Scan,,-> Get internal transactions,,child,"Returns the list of internal transactions performed by an address, with optional pagination."
Optimism Scan,,-> Get internal transactions by hash,,child,Returns the list of internal transactions performed within a transaction.
Optimism Scan,,-> Get internal transactions by block,,child,"Returns the list of internal transactions performed within a block range, with optional pagination."
Optimism Scan,,-> Get Contract ABI,,child,Returns the contract Application Binary Interface ( ABI ) of a verified smart contract.
Optimism Scan,,-> Get Contract Source Code,,child,Returns the Solidity source code of a verified smart contract.
Optimism Scan,,-> Check Transaction Receipt Status,,child,Returns the status code of a transaction execution.
Optimism Scan,,-> Check Contract Execution Status,,child,Returns the status code of a contract execution.
Optimism Scan,,-> Get ERC20 Token Supply,,child,"Returns the total supply of a ERC-20 token. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
Optimism Scan,,-> Get ERC20 Token Balance,,child,"Returns the current balance of a ERC-20 token of an address. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
Optimism Scan,,-> Get ETHER Price,,child,Returns the latest price of 1 ETHER.
Optimism Scan,,-> Get Total Supply of Ether,,child,Returns the current amount of Ether in circulation.
Optimism Scan,,Optimism Scan,,parent,Optimism Public API
Optimism Scan,,-> Get ETH Balance,,child,Get ETH Balance for a single Address
Optimism Scan,,-> Get ETH Balance Multi,,child,Get ETH Balance for multiple Addresses in a single call
Optimism Scan,,-> Get ERC20 Token Transfer Events,,child,"Get a list of ""ERC-20 - Token Transfer Events"" by Address"
Optimism Scan,,-> Get Deposit History,,child,Get list of L1 Deposits done by Address
Optimism Scan,,-> Get Withdrawal History,,child,Get list of L2 Withdrawals done by Address
Optimism Scan,,-> Get Contract ABI,,child,Get Contract ABI for Verified Contract Source Codes
Optimism Scan,,-> Get Contract Source Code,,child,Get Contract Source Code for Verified Contract Source Codes. (Replace the address with the actual contract address)
Optimism Scan,,-> Get ERC-20 Token Total Supply,,child,Get ERC-20 Token Total Supply by Contract Address
Optimism Scan,,-> Get ERC-20 Token Account Balance,,child,Get ERC-20 Token Account Balance by Contract Address and Address
PancakeSwap,,PancakeSwap,,parent,Execute PancakeSwap operations
PancakeSwap,,-> Swap Tokens,,child,
PancakeSwap,,-> Custom Query,,child,Custom subgraph query to retrieve more information. https://github.com/pancakeswap/pancake-subgraph
PancakeSwap,,-> Blocks,,child,Tracks all blocks on Binance Smart Chain.
PancakeSwap,,-> Exchange,,child,"Tracks all PancakeSwap Exchange data with price, volume, liquidity"
PancakeSwap,,-> Lottery,,child,"Tracks all PancakeSwap Lottery with rounds, draws and tickets."
PancakeSwap,,-> NFT Market (v1),,child,Tracks all PancakeSwap NFT Market for ERC-721.
PancakeSwap,,-> Pairs,,child,Tracks all PancakeSwap Pairs and Tokens.
PancakeSwap,,-> Pancake Squad,,child,"Tracks all Pancake Squad metrics with Owners, Tokens (including metadata), and Transactions."
PancakeSwap,,-> Prediction (v1),,child,"Tracks all PancakeSwap Prediction (v1) with market, rounds, and bets."
PancakeSwap,,-> Prediction (v2),,child,"Tracks all PancakeSwap Prediction (v2) with market, rounds, and bets."
PancakeSwap,,-> Profile,,child,"Tracks all PancakeSwap Profile with teams, users, points and campaigns."
PancakeSwap,,-> SmartChef,,child,Tracks all PancakeSwap SmartChef (a.k.a. Syrup Pools) with tokens and rewards.
PancakeSwap,,-> Timelock,,child,"Tracks all PancakeSwap Timelock queued, executed, and cancelled transactions."
PancakeSwap,,-> MasterChef (v2),,child,Tracks data for MasterChefV2.
Pinata,,Pinata,,parent,Pin your content to IPFS with Pinata
Pinata,,-> JSON,,child,
Pinata,,-> Multiple JSON,,child,"Wrap each json from an array into a json file (0.json, 1.json..) and store under a directory"
Pinata,,-> File,,child,
Pinata,,-> Folder,,child,
Pinata,,-> CID (Content Identifier),,child,
Pinata,,-> Raw Data (Base64),,child,Wrap the raw data in base64 format into a file and store under a directory
Pinata,,-> Multiple Raw Data (Base64),,child,"Wrap each raw data in base64 format from an array into a file (0.png, 1.pdf..) and store under a directory"
Pinata,,-> List Pin By CID Jobs,,child,
Pinata,,-> Update Metadata,,child,
Pinata,,-> Remove Files (Unpin),,child,
Pinterest,,Pinterest,,parent,"Interact with Pinterest API (v5) endpoints, including user accounts, boards, pins, ads, catalogs, analytics, and more."
Pinterest,,-> Get User Account,,child,Get account profile information for the authorized user.
Pinterest,,-> Get User Account Analytics,,child,"Get analytics for the authorized user's account (audience metrics, profile impressions, etc)."
Pinterest,,-> Get User Account Top Pins Analytics,,child,Get analytics data for the user's top Pins (top 50 Pins).
Pinterest,,-> Get User Account Top Video Pins Analytics,,child,Get analytics data for the user's top video Pins (top 50 Pins).
Pinterest,,-> List Linked Business Accounts,,child,List business accounts linked to the authorized user.
Pinterest,,-> List Followers,,child,List the users following the authorized user.
Pinterest,,-> List Following Users,,child,List the users that the authorized user is following.
Pinterest,,-> List Following Boards,,child,List the boards that the authorized user is following.
Pinterest,,-> Follow User,,child,Follow another user by username (Beta feature).
Pinterest,,-> Verify Website,,child,Verify a website for the authorized user.
Pinterest,,-> Get Website Verification Status,,child,Get the status of website verification for the authorized user.
Pinterest,,-> List Boards,,child,Get a list of boards owned by the user (and group boards the user is a collaborator on).
Pinterest,,-> Create Board,,child,Create a new board for the user.
Pinterest,,-> Get Board,,child,Get details of a specific board.
Pinterest,,-> Update Board,,child,"Update a board's information (name, description, privacy)."
Pinterest,,-> Delete Board,,child,Delete a board.
Pinterest,,-> List Board Sections,,child,List all sections on a specified board.
Pinterest,,-> Create Board Section,,child,Create a new section within a board.
Pinterest,,-> Update Board Section,,child,Update a board section's name.
Pinterest,,-> Delete Board Section,,child,Delete a section from a board.
Pinterest,,-> List Pins on Board,,child,List all Pins on a specific board.
Pinterest,,-> List Pins on Board Section,,child,List all Pins in a specific board section.
Pinterest,,-> List Pins,,child,List all Pins owned by the user.
Pinterest,,-> Create Pin,,child,Create a new Pin on a board (or board section).
Pinterest,,-> Get Pin,,child,Get details of a specific Pin.
Pinterest,,-> Update Pin,,child,"Update a Pin's details (title, description, link)."
Pinterest,,-> Delete Pin,,child,Delete a Pin.
Pinterest,,-> Search Boards,,child,Search the user's boards by a query.
Pinterest,,-> Search Pins,,child,Search the user's Pins by a query.
Pinterest,,-> Search Partner Pins,,child,Search for top Pins by a given search term (Beta).
Pinterest,,-> List Ad Accounts,,child,List ad accounts the user has access to.
Pinterest,,-> Create Ad Account,,child,Create a new ad account for the user.
Pinterest,,-> Get Ad Account,,child,Get details of a specific ad account.
Pinterest,,-> List Campaigns,,child,List campaigns in an ad account.
Pinterest,,-> Create Campaign,,child,Create a new campaign in an ad account.
Pinterest,,-> Get Campaign,,child,Get details of a specific campaign.
Pinterest,,-> Update Campaign,,child,Update one or more existing campaigns (e.g. status or budget).
Pinterest,,-> List Ad Groups,,child,List ad groups in an ad account (optionally filtered by campaign).
Pinterest,,-> Create Ad Group,,child,Create a new ad group under a campaign.
Pinterest,,-> Get Ad Group,,child,Get details of a specific ad group.
Pinterest,,-> Update Ad Group,,child,Update one or more existing ad groups (e.g. status or targeting).
Pinterest,,-> List Ads,,child,List ads in an ad account (optionally filtered by campaign or ad group).
Pinterest,,-> Create Ad,,child,Create a new ad (Pin promotion) in an ad group.
Pinterest,,-> Update Ad,,child,Update one or more existing ads (e.g. status).
Pinterest,,-> Create Ad Preview,,child,Generate a preview of a promoted Pin (ad) using a Pin or image.
Pinterest,,-> Create Keywords,,child,Create keywords for targeting (attach keywords to an ad group or campaign).
Pinterest,,-> Update Keywords,,child,Update keywords (e.g. bids or archive status).
Pinterest,,-> Get Keyword Metrics,,child,Get keyword metrics aggregated (e.g. search counts by country).
Pinterest,,-> List Audiences,,child,List audiences available in an ad account.
Pinterest,,-> Create Custom Audience,,child,Create a new custom audience (for targeting).
Pinterest,,-> Get Audience,,child,Get details of a specific audience.
Pinterest,,-> List Customer Lists,,child,List customer (user) lists in an ad account.
Pinterest,,-> Create Customer List,,child,Create a new customer list audience (e.g. email list).
Pinterest,,-> Get Customer List,,child,Get details of a specific customer list.
Pinterest,,-> Update Customer List,,child,Append or remove records in an existing customer list.
Pinterest,,-> List Conversion Tags,,child,List conversion tags associated with an ad account.
Pinterest,,-> Get Conversion Tag,,child,Get details of a specific conversion tag.
Pinterest,,-> Create Conversion Tag,,child,Create a new Pinterest conversion tag.
Pinterest,,-> Update Conversion Tag,,child,Update an existing conversion tag (e.g. rename or settings).
Pinterest,,-> Send Conversion Events,,child,Send conversion event data (via the Conversions API).
Pinterest,,-> List Media Uploads,,child,List media upload requests (media assets) for the user or ad account.
Pinterest,,-> Create Media Upload,,child,Initiate a new media upload (for images or videos).
Pinterest,,-> Get Media Upload,,child,Check the status of a media upload by ID.
Pinterest,,-> List Catalogs,,child,List catalogs associated with the user or business.
Pinterest,,-> List Catalog Feeds,,child,List product feed sources (data feeds) for catalogs.
Pinterest,,-> Create Catalog Feed,,child,Create a new product feed for a catalog (register a data source).
Pinterest,,-> Get Catalog Feed,,child,Get details of a specific product feed.
Pinterest,,-> Update Catalog Feed,,child,Update settings of a product feed (e.g. name or status).
Pinterest,,-> Delete Catalog Feed,,child,Delete a product feed.
Pinterest,,-> List Feed Processing Results,,child,"List processing results (errors, warnings) for a given feed."
Pinterest,,-> List Catalog Items,,child,List products (catalog items) from the user's catalog.
Pinterest,,-> Operate on Catalog Item Batch,,child,Apply operations (create/update/remove) on a set of catalog items.
Pinterest,,-> Get Catalog Item Batch Status,,child,Get the status/results of a catalog items batch operation.
Pinterest,,-> List Product Groups,,child,List product groups (collections of items) in the catalog.
Pinterest,,-> Create Product Group,,child,Create a new product group (item filter set) in the catalog.
Pinterest,,-> Get Product Group,,child,Get details of a specific product group.
Pinterest,,-> Get Product Group Product Counts,,child,Get the count of products in a specific product group.
Pinterest,,-> List Products in Product Group,,child,List the product items belonging to a specific product group.
Pinterest,,-> List Product Group Promotions,,child,List promoted product groups (shopping ads) in an ad account.
Pinterest,,-> Create Product Group Promotion,,child,Promote a product group (create a new product group promotion).
Pinterest,,-> Get Product Group Promotion,,child,Get details of a specific product group promotion.
Pinterest,,-> Update Product Group Promotion,,child,Update an existing product group promotion (e.g. status or bid).
Pinterest,,-> Get Campaign Analytics,,child,Retrieve analytics metrics for one or more campaigns in an ad account.
Pinterest,,-> Get Ad Group Analytics,,child,Retrieve analytics metrics for one or more ad groups in an ad account.
Pinterest,,-> Get Ad Analytics,,child,Retrieve analytics metrics for one or more ads in an ad account.
Pinterest,,-> Get Product Group Analytics,,child,Retrieve analytics metrics for one or more product group promotions.
Pinterest,,-> Get Campaign Targeting Analytics,,child,Retrieve targeting breakdown analytics for one or more campaigns.
Pinterest,,-> Get Ad Group Targeting Analytics,,child,Retrieve targeting breakdown analytics for one or more ad groups.
Pinterest,,-> Get Audience Insights,,child,Get audience insights for an ad account (overview of audience metrics).
Pinterest,,-> Create Analytics Report,,child,Create an asynchronous analytics report for an ad account (returns a report token).
Pinterest,,-> Get Analytics Report,,child,Retrieve a previously requested analytics report (using a report token).
Pinterest,,-> List Related Terms,,child,Get a list of search terms related to a given term (for targeting suggestions).
Pinterest,,-> List Suggested Terms,,child,Get a list of suggested search terms often used together with a given term.
Pinterest,,-> Get Advertising Terms of Service,,child,Get the Pinterest Advertising Terms of Service.
PolygonScan,,PolygonScan,,parent,PolygonScan Public API
PolygonScan,,-> Get MATIC Balance,,child,Returns the MATIC balance of a given address. The result is returned in wei.
PolygonScan,,-> Get Historical MATIC Balance [PRO],,child,Returns the historical MATIC balance of an address at a certain block height. The result is returned in wei
PolygonScan,,-> Get transactions,,child,"Returns the list of transactions performed by an address, with optional pagination."
PolygonScan,,-> Get internal transactions,,child,"Returns the list of internal transactions performed by an address, with optional pagination."
PolygonScan,,-> Get internal transactions by hash,,child,Returns the list of internal transactions performed within a transaction.
PolygonScan,,-> Get internal transactions by block,,child,"Returns the list of internal transactions performed within a block range, with optional pagination."
PolygonScan,,-> Get list of Blocks Validated by Address,,child,Returns the list of blocks validated by an address.
PolygonScan,,-> Get Contract ABI,,child,Returns the contract Application Binary Interface ( ABI ) of a verified smart contract.
PolygonScan,,-> Get Contract Source Code,,child,Returns the Solidity source code of a verified smart contract.
PolygonScan,,-> Check Transaction Receipt Status,,child,Returns the status code of a transaction execution.
PolygonScan,,-> Get ERC20 Token Supply,,child,"Returns the total supply of a ERC-20 token. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
PolygonScan,,-> Get ERC20 Token Balance,,child,"Returns the current balance of a ERC-20 token of an address. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
PolygonScan,,-> Get Historical ERC-20 Token TotalSupply by ContractAddress & BlockNo [PRO],,child,"Returns the historical amount of a ERC-20 token in circulation at a certain block height. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
